program_id,task_id,diff_hunks,changed_buggy_lines,decision,faulty_lines,exclusion_reason,justification,timestamp
40898300,abc221_f,1,[84],include,[84],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45225814,abc221_f,1,[50],include,[50],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
26339941,abc221_g,1,[18],include,[18],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
26320903,abc221_h,1,[27],include,[27],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
26785022,abc221_h,1,[19],include,[19],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45118973,abc222_g,1,[64],include,[64],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45276473,abc222_g,2,[],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49217735,abc222_g,1,[8],include,[8],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
50712644,abc222_g,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45718110,abc223_d,2,[],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45783590,abc223_d,1,[27],include,[27],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
49036505,abc223_e,1,[14],include,[14],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
52933845,abc223_e,2,"[19, 21]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53250614,abc223_e,1,[92],include,[92],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
53648866,abc223_e,1,[23],include,[23],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45728797,abc223_f,1,[20],include,[20],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
46212630,abc223_f,2,[52],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45319303,abc223_g,2,"[66, 77, 78]",exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
26668974,abc223_h,1,[58],include,[58],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44885115,abc224_d,1,[39],include,[39],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
51168884,abc224_f,1,[46],include,[46],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
27132818,abc224_g,1,[19],include,[19],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
28236524,abc224_g,1,[6],include,[6],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
32872217,abc224_g,1,[21],include,[21],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44416948,abc225_c,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
44888915,abc225_c,1,[123],include,[123],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45226527,abc225_c,1,[],exclude,[],multi-line fault — excluded by v2 single-line filter,Multi-line fix or insertion/deletion per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45469943,abc225_c,2,[16],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45240176,abc225_d,1,[22],include,[22],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
45312408,abc225_e,2,[25],exclude,[],multiple independent faults,Multi-hunk fix per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
30550444,abc225_f,1,[19],include,[19],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
31785117,abc225_f,1,[22],include,[22],,Single-line fix: altered operator/operand/bound/index per GROUND_TRUTH_PROTOCOL.md §3,2026-09-10T18:05:00+00:00
