pattern_label,claude_count,codex_count,exact_matches,union_count,agreement_rate
two_pointers,3,6,2,7,0.2857142857142857
sliding_window,6,5,5,6,0.8333333333333334
binary_search,23,14,14,23,0.6086956521739131
prefix_sums,7,9,6,10,0.6
dynamic_programming,53,45,45,53,0.8490566037735849
greedy,15,14,11,18,0.6111111111111112
graph_traversal_dfs_bfs,15,13,13,15,0.8666666666666667
sorting_based,6,8,6,8,0.75
hash_map_counting,10,4,4,10,0.4
brute_force_implementation,50,42,37,55,0.6727272727272727
intervals,5,5,4,6,0.6666666666666666
simulation,10,20,10,20,0.5
outside_vocabulary,29,47,25,51,0.49019607843137253
uncertain,0,0,0,0,
