annotator,pattern_label,disagreements
Claude,two_pointers,1
Claude,sliding_window,1
Claude,binary_search,9
Claude,prefix_sums,1
Claude,dynamic_programming,8
Claude,greedy,4
Claude,graph_traversal_dfs_bfs,2
Claude,sorting_based,0
Claude,hash_map_counting,6
Claude,brute_force_implementation,13
Claude,intervals,1
Claude,simulation,0
Claude,outside_vocabulary,4
Claude,uncertain,0
Codex,two_pointers,4
Codex,sliding_window,0
Codex,binary_search,0
Codex,prefix_sums,3
Codex,dynamic_programming,0
Codex,greedy,3
Codex,graph_traversal_dfs_bfs,0
Codex,sorting_based,2
Codex,hash_map_counting,0
Codex,brute_force_implementation,5
Codex,intervals,1
Codex,simulation,10
Codex,outside_vocabulary,22
Codex,uncertain,0
