program_id,task_id,pattern_label,consensus_source,claude_confidence,codex_confidence
45118973,abc222_g,outside_vocabulary,claude-codex-blinded-agreement,high,high
53250614,abc223_e,brute_force_implementation,claude-codex-blinded-agreement,high,medium
51168884,abc224_f,dynamic_programming,claude-codex-blinded-agreement,medium,high
31785117,abc225_f,dynamic_programming,claude-codex-blinded-agreement,high,high
45483175,abc226_b,hash_map_counting,claude-codex-blinded-agreement,high,high
44996770,abc229_a,brute_force_implementation,claude-codex-blinded-agreement,low,high
44646979,abc229_e,outside_vocabulary,claude-codex-blinded-agreement,high,high
54240175,abc230_c,brute_force_implementation,claude-codex-blinded-agreement,high,medium
27770752,abc230_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
44805380,abc232_d,dynamic_programming,claude-codex-blinded-agreement,high,high
38349532,abc233_g,dynamic_programming,claude-codex-blinded-agreement,high,high
45477719,abc234_e,brute_force_implementation,claude-codex-blinded-agreement,high,high
46026874,abc237_c,two_pointers,claude-codex-blinded-agreement,medium,high
35962547,abc237_f,dynamic_programming,claude-codex-blinded-agreement,high,high
52795863,abc238_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
48523335,abc238_f,dynamic_programming,claude-codex-blinded-agreement,medium,high
52953499,abc239_d,brute_force_implementation,claude-codex-blinded-agreement,medium,high
41657280,abc241_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
46189922,abc241_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
45535167,abc242_e,dynamic_programming,claude-codex-blinded-agreement,high,high
44607569,abc243_d,simulation,claude-codex-blinded-agreement,medium,high
45713633,abc244_b,simulation,claude-codex-blinded-agreement,high,high
44593613,abc244_d,brute_force_implementation,claude-codex-blinded-agreement,high,high
45811431,abc245_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,medium,high
33284569,abc246_g,binary_search,claude-codex-blinded-agreement,high,high
39496981,abc247_g,outside_vocabulary,claude-codex-blinded-agreement,high,high
45802660,abc248_e,brute_force_implementation,claude-codex-blinded-agreement,medium,high
45700046,abc250_d,two_pointers,claude-codex-blinded-agreement,high,medium
31608048,abc250_g,greedy,claude-codex-blinded-agreement,high,high
45243368,abc252_b,sorting_based,claude-codex-blinded-agreement,medium,medium
32688484,abc256_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
45289055,abc257_a,brute_force_implementation,claude-codex-blinded-agreement,medium,high
45044587,abc257_c,sorting_based,claude-codex-blinded-agreement,high,high
52382935,abc259_d,outside_vocabulary,claude-codex-blinded-agreement,high,high
45515452,abc259_e,hash_map_counting,claude-codex-blinded-agreement,medium,high
33361937,abc260_g,prefix_sums,claude-codex-blinded-agreement,high,high
33776994,abc262_g,dynamic_programming,claude-codex-blinded-agreement,high,high
45798886,abc265_b,simulation,claude-codex-blinded-agreement,high,high
45966660,abc265_d,prefix_sums,claude-codex-blinded-agreement,high,high
43487741,abc265_f,dynamic_programming,claude-codex-blinded-agreement,high,high
45233540,abc267_b,brute_force_implementation,claude-codex-blinded-agreement,low,medium
45550363,abc267_d,dynamic_programming,claude-codex-blinded-agreement,high,high
45545460,abc267_f,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,medium,high
43509672,abc269_g,dynamic_programming,claude-codex-blinded-agreement,medium,high
45974029,abc270_d,dynamic_programming,claude-codex-blinded-agreement,high,high
46008428,abc271_d,dynamic_programming,claude-codex-blinded-agreement,high,high
37700812,abc271_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
45282989,abc272_c,sorting_based,claude-codex-blinded-agreement,high,high
45575170,abc272_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
48974864,abc272_g,outside_vocabulary,claude-codex-blinded-agreement,medium,high
44917428,abc275_c,brute_force_implementation,claude-codex-blinded-agreement,high,high
37220565,abc275_g,binary_search,claude-codex-blinded-agreement,high,high
46190302,abc278_e,sliding_window,claude-codex-blinded-agreement,high,high
45944008,abc281_b,brute_force_implementation,claude-codex-blinded-agreement,low,high
45462979,abc283_d,simulation,claude-codex-blinded-agreement,medium,high
45759088,abc283_e,dynamic_programming,claude-codex-blinded-agreement,high,high
46910621,abc283_f,outside_vocabulary,claude-codex-blinded-agreement,medium,high
45471607,abc286_d,dynamic_programming,claude-codex-blinded-agreement,high,high
46180932,abc287_c,outside_vocabulary,claude-codex-blinded-agreement,high,high
45332649,abc289_c,brute_force_implementation,claude-codex-blinded-agreement,high,high
46033056,abc289_d,dynamic_programming,claude-codex-blinded-agreement,high,high
45463729,abc289_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
45270856,abc290_c,sorting_based,claude-codex-blinded-agreement,high,high
45489809,abc291_d,dynamic_programming,claude-codex-blinded-agreement,high,high
45325123,abc291_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
45536157,abc292_c,outside_vocabulary,claude-codex-blinded-agreement,medium,high
44987159,abc292_d,outside_vocabulary,claude-codex-blinded-agreement,high,high
45523633,abc292_f,binary_search,claude-codex-blinded-agreement,high,high
45933759,abc296_d,brute_force_implementation,claude-codex-blinded-agreement,medium,high
45226037,abc296_f,outside_vocabulary,claude-codex-blinded-agreement,high,high
45710768,abc298_d,simulation,claude-codex-blinded-agreement,high,high
46008577,abc298_e,dynamic_programming,claude-codex-blinded-agreement,high,high
41059627,abc298_g,dynamic_programming,claude-codex-blinded-agreement,high,high
41069355,abc299_f,dynamic_programming,claude-codex-blinded-agreement,high,high
45723196,abc300_b,brute_force_implementation,claude-codex-blinded-agreement,high,high
45749744,abc300_c,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
45250612,abc300_e,dynamic_programming,claude-codex-blinded-agreement,high,high
45923968,abc300_f,binary_search,claude-codex-blinded-agreement,medium,high
45763953,abc302_b,brute_force_implementation,claude-codex-blinded-agreement,high,high
45574429,abc304_d,hash_map_counting,claude-codex-blinded-agreement,medium,high
41991921,abc304_g,binary_search,claude-codex-blinded-agreement,high,high
46169156,abc305_b,brute_force_implementation,claude-codex-blinded-agreement,low,high
54718266,abc308_d,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
45895898,abc309_c,binary_search,claude-codex-blinded-agreement,high,high
45971969,abc309_e,graph_traversal_dfs_bfs,claude-codex-blinded-agreement,high,high
46217262,abc310_b,brute_force_implementation,claude-codex-blinded-agreement,high,high
