program_id,task_id,buggy_source_path,fixed_source_path,tests_path,faulty_lines,pattern_label,pattern_source,pattern_confidence,loc,evaluation_denominator,selection_rank,sampling_seed,selection_frozen_at
39201856,arc157_e,../raw/39201856/buggy.py,../raw/39201856/fixed.py,../raw/39201856/tests.json,[34],brute_force_implementation,AST rule,high,93,93,1,20260910,2026-09-10T16:25:57.314444+00:00
45028964,abc266_c,../raw/45028964/buggy.py,../raw/45028964/fixed.py,../raw/45028964/tests.json,[40],brute_force_implementation,AST rule,high,46,46,2,20260910,2026-09-10T16:25:57.314444+00:00
38039113,arc141_b,../raw/38039113/buggy.py,../raw/38039113/fixed.py,../raw/38039113/tests.json,[6],brute_force_implementation,AST rule,high,29,29,3,20260910,2026-09-10T16:25:57.314444+00:00
41930310,arc151_c,../raw/41930310/buggy.py,../raw/41930310/fixed.py,../raw/41930310/tests.json,[17],brute_force_implementation,AST rule,high,29,29,4,20260910,2026-09-10T16:25:57.314444+00:00
54495605,abc337_d,../raw/54495605/buggy.py,../raw/54495605/fixed.py,../raw/54495605/tests.json,[42],brute_force_implementation,AST rule,high,44,44,5,20260910,2026-09-10T16:25:57.314444+00:00
45753152,abc246_d,../raw/45753152/buggy.py,../raw/45753152/fixed.py,../raw/45753152/tests.json,[12],brute_force_implementation,AST rule,high,29,29,6,20260910,2026-09-10T16:25:57.314444+00:00
54786893,abc358_g,../raw/54786893/buggy.py,../raw/54786893/fixed.py,../raw/54786893/tests.json,[17],brute_force_implementation,AST rule,high,28,28,7,20260910,2026-09-10T16:25:57.314444+00:00
45717530,abc238_d,../raw/45717530/buggy.py,../raw/45717530/fixed.py,../raw/45717530/tests.json,[21],brute_force_implementation,AST rule,high,30,30,8,20260910,2026-09-10T16:25:57.314444+00:00
48880084,abc285_e,../raw/48880084/buggy.py,../raw/48880084/fixed.py,../raw/48880084/tests.json,[26],dynamic_programming,AST rule,high,33,33,9,20260910,2026-09-10T16:25:57.314444+00:00
42981473,abc307_g,../raw/42981473/buggy.py,../raw/42981473/fixed.py,../raw/42981473/tests.json,[20],dynamic_programming,AST rule,high,25,25,10,20260910,2026-09-10T16:25:57.314444+00:00
54954766,abc327_e,../raw/54954766/buggy.py,../raw/54954766/fixed.py,../raw/54954766/tests.json,[51],dynamic_programming,AST rule,high,67,67,11,20260910,2026-09-10T16:25:57.314444+00:00
