program_id,task_id,buggy_source_path,fixed_source_path,tests_path,faulty_lines,pattern_label,pattern_source,pattern_confidence,loc,evaluation_denominator,selection_rank,sampling_seed,selection_frozen_at
38752586,arc129_a,../raw/38752586/buggy.py,../raw/38752586/fixed.py,../raw/38752586/tests.json,[25],brute_force_implementation,AST rule,high,26,26,1,20260910,2026-09-10T17:51:43.488565+00:00
45028964,abc266_c,../raw/45028964/buggy.py,../raw/45028964/fixed.py,../raw/45028964/tests.json,[40],brute_force_implementation,AST rule,high,46,46,2,20260910,2026-09-10T17:51:43.488565+00:00
37220565,abc275_g,../raw/37220565/buggy.py,../raw/37220565/fixed.py,../raw/37220565/tests.json,[21],brute_force_implementation,AST rule,high,33,33,3,20260910,2026-09-10T17:51:43.488565+00:00
40932797,arc156_b,../raw/40932797/buggy.py,../raw/40932797/fixed.py,../raw/40932797/tests.json,[27],brute_force_implementation,AST rule,high,37,37,4,20260910,2026-09-10T17:51:43.488565+00:00
54957150,abc356_b,../raw/54957150/buggy.py,../raw/54957150/fixed.py,../raw/54957150/tests.json,[30],brute_force_implementation,AST rule,high,39,39,5,20260910,2026-09-10T17:51:43.488565+00:00
45763953,abc302_b,../raw/45763953/buggy.py,../raw/45763953/fixed.py,../raw/45763953/tests.json,[39],brute_force_implementation,AST rule,high,46,46,6,20260910,2026-09-10T17:51:43.488565+00:00
55003503,abc327_c,../raw/55003503/buggy.py,../raw/55003503/fixed.py,../raw/55003503/tests.json,[22],brute_force_implementation,AST rule,high,35,35,7,20260910,2026-09-10T17:51:43.488565+00:00
45723196,abc300_b,../raw/45723196/buggy.py,../raw/45723196/fixed.py,../raw/45723196/tests.json,[1],brute_force_implementation,AST rule,high,29,29,8,20260910,2026-09-10T17:51:43.488565+00:00
52671232,arc176_d,../raw/52671232/buggy.py,../raw/52671232/fixed.py,../raw/52671232/tests.json,[140],dynamic_programming,AST rule,high,155,155,9,20260910,2026-09-10T17:51:43.488565+00:00
45471607,abc286_d,../raw/45471607/buggy.py,../raw/45471607/fixed.py,../raw/45471607/tests.json,[43],dynamic_programming,AST rule,high,51,51,10,20260910,2026-09-10T17:51:43.488565+00:00
28174907,arc132_d,../raw/28174907/buggy.py,../raw/28174907/fixed.py,../raw/28174907/tests.json,[34],dynamic_programming,AST rule,high,43,43,11,20260910,2026-09-10T17:51:43.488565+00:00
34050152,agc058_b,../raw/34050152/buggy.py,../raw/34050152/fixed.py,../raw/34050152/tests.json,[1],dynamic_programming,AST rule,high,31,31,12,20260910,2026-09-10T17:51:43.488565+00:00
43487741,abc265_f,../raw/43487741/buggy.py,../raw/43487741/fixed.py,../raw/43487741/tests.json,[47],dynamic_programming,AST rule,high,51,51,13,20260910,2026-09-10T17:51:43.488565+00:00
53462819,abc349_f,../raw/53462819/buggy.py,../raw/53462819/fixed.py,../raw/53462819/tests.json,[33],dynamic_programming,AST rule,high,33,33,14,20260910,2026-09-10T17:51:43.488565+00:00
41059627,abc298_g,../raw/41059627/buggy.py,../raw/41059627/fixed.py,../raw/41059627/tests.json,[55],dynamic_programming,AST rule,high,56,56,15,20260910,2026-09-10T17:51:43.488565+00:00
46008577,abc298_e,../raw/46008577/buggy.py,../raw/46008577/fixed.py,../raw/46008577/tests.json,[22],dynamic_programming,AST rule,high,25,25,16,20260910,2026-09-10T17:51:43.488565+00:00
52742757,abc324_e,../raw/52742757/buggy.py,../raw/52742757/fixed.py,../raw/52742757/tests.json,[25],binary_search,AST rule,high,27,27,17,20260910,2026-09-10T17:51:43.488565+00:00
46165545,abc299_c,../raw/46165545/buggy.py,../raw/46165545/fixed.py,../raw/46165545/tests.json,[98],binary_search,AST rule,high,114,114,18,20260910,2026-09-10T17:51:43.488565+00:00
45332649,abc289_c,../raw/45332649/buggy.py,../raw/45332649/fixed.py,../raw/45332649/tests.json,[23],binary_search,AST rule,high,38,38,19,20260910,2026-09-10T17:51:43.488565+00:00
46026874,abc237_c,../raw/46026874/buggy.py,../raw/46026874/fixed.py,../raw/46026874/tests.json,[17],binary_search,AST rule,high,30,30,20,20260910,2026-09-10T17:51:43.488565+00:00
39342455,arc139_b,../raw/39342455/buggy.py,../raw/39342455/fixed.py,../raw/39342455/tests.json,[30],binary_search,AST rule,high,41,41,21,20260910,2026-09-10T17:51:43.488565+00:00
45966660,abc265_d,../raw/45966660/buggy.py,../raw/45966660/fixed.py,../raw/45966660/tests.json,[43],binary_search,AST rule,high,54,54,22,20260910,2026-09-10T17:51:43.488565+00:00
45104462,abc249_a,../raw/45104462/buggy.py,../raw/45104462/fixed.py,../raw/45104462/tests.json,[54],binary_search,AST rule,high,61,61,23,20260910,2026-09-10T17:51:43.488565+00:00
54769975,abc355_d,../raw/54769975/buggy.py,../raw/54769975/fixed.py,../raw/54769975/tests.json,[26],sorting_based,AST rule,medium,26,26,24,20260910,2026-09-10T17:51:43.488565+00:00
