program_id,task_id,buggy_source_path,fixed_source_path,tests_path,faulty_lines,pattern_label,pattern_source,claude_confidence,codex_confidence,loc,difficulty,inclusion_status,evaluation_denominator,selection_rank,sampling_seed,selection_frozen_at
39201856,arc157_e,../raw/v2_2/39201856/buggy.py,../raw/v2_2/39201856/fixed.py,../raw/v2_2/39201856/tests.json,[34],dynamic_programming,model-consensus,high,high,93,2877,included,93,1,20260910,2026-09-12T18:18:44.770989+00:00
44805380,abc232_d,../raw/v2_2/44805380/buggy.py,../raw/v2_2/44805380/fixed.py,../raw/v2_2/44805380/tests.json,[22],dynamic_programming,model-consensus,high,high,27,539,included,27,2,20260910,2026-09-12T18:18:44.770989+00:00
35962547,abc237_f,../raw/v2_2/35962547/buggy.py,../raw/v2_2/35962547/fixed.py,../raw/v2_2/35962547/tests.json,[136],dynamic_programming,model-consensus,high,high,141,1857,included,141,3,20260910,2026-09-12T18:18:44.770989+00:00
43438224,arc164_e,../raw/v2_2/43438224/buggy.py,../raw/v2_2/43438224/fixed.py,../raw/v2_2/43438224/tests.json,[16],dynamic_programming,model-consensus,high,high,49,2651,included,49,4,20260910,2026-09-12T18:18:44.770989+00:00
45808089,abc314_e,../raw/v2_2/45808089/buggy.py,../raw/v2_2/45808089/fixed.py,../raw/v2_2/45808089/tests.json,[22],dynamic_programming,model-consensus,high,high,26,1722,included,26,5,20260910,2026-09-12T18:18:44.770989+00:00
45759088,abc283_e,../raw/v2_2/45759088/buggy.py,../raw/v2_2/45759088/fixed.py,../raw/v2_2/45759088/tests.json,[36],dynamic_programming,model-consensus,high,high,43,1802,included,43,6,20260910,2026-09-12T18:18:44.770989+00:00
52899692,abc345_e,../raw/v2_2/52899692/buggy.py,../raw/v2_2/52899692/fixed.py,../raw/v2_2/52899692/tests.json,[2],dynamic_programming,model-consensus,high,high,49,2356,included,49,7,20260910,2026-09-12T18:18:44.770989+00:00
55029036,abc335_e,../raw/v2_2/55029036/buggy.py,../raw/v2_2/55029036/fixed.py,../raw/v2_2/55029036/tests.json,[148],dynamic_programming,model-consensus,medium,medium,150,1540,included,150,8,20260910,2026-09-12T18:18:44.770989+00:00
31456138,arc139_c,../raw/v2_2/31456138/buggy.py,../raw/v2_2/31456138/fixed.py,../raw/v2_2/31456138/tests.json,[28],brute_force_implementation,model-consensus,low,medium,43,2406,included,43,9,20260910,2026-09-12T18:18:44.770989+00:00
43234248,arc148_b,../raw/v2_2/43234248/buggy.py,../raw/v2_2/43234248/fixed.py,../raw/v2_2/43234248/tests.json,[32],brute_force_implementation,model-consensus,medium,high,40,975,included,40,10,20260910,2026-09-12T18:18:44.770989+00:00
